tempo,PWM,RPM
9.059,113.693,1380.0
9.069,98.092,1410.0
9.079,98.058,1410.0
9.089,113.693,1380.0
9.099,98.092,1410.0
9.109,113.727,1380.0
9.119,98.126,1410.0
9.129,98.092,1410.0
9.139,98.058,1410.0
9.149,113.693,1380.0
9.159,113.761,1380.0
9.169,113.829,1380.0
9.179,98.228,1410.0
9.189,98.194,1410.0
9.199,98.16,1410.0
9.209,113.795,1380.0
9.219,98.194,1410.0
9.229,113.829,1380.0
9.239,113.897,1380.0
9.249,98.296,1410.0
9.26,98.262,1410.0
9.269,113.897,1380.0
9.279,98.296,1410.0
9.289,113.931,1380.0
9.299,98.33,1410.0
9.309,98.296,1410.0
9.319,113.931,1380.0
9.329,113.999,1380.0
9.339,98.398,1410.0
9.349,98.364,1410.0
9.359,113.999,1380.0
9.369,98.398,1410.0
9.379,114.033,1380.0
9.389,98.432,1410.0
9.399,98.398,1410.0
9.409,114.033,1380.0
9.419,98.432,1410.0
9.43,98.398,1410.0
9.439,114.033,1380.0
9.449,114.101,1380.0
9.459,98.5,1410.0
9.469,98.466,1410.0
9.479,98.432,1410.0
9.489,114.067,1380.0
9.499,114.135,1380.0
9.509,98.534,1410.0
9.519,98.5,1410.0
9.529,114.135,1380.0
9.539,98.534,1410.0
9.549,98.5,1410.0
9.559,98.466,1410.0
9.569,114.101,1380.0
9.579,114.169,1380.0
9.589,98.568,1410.0
9.6,114.203,1380.0
9.609,98.602,1410.0
9.619,98.568,1410.0
9.629,114.203,1380.0
9.639,98.602,1410.0
9.649,98.568,1410.0
9.659,114.203,1380.0
9.669,98.602,1410.0
9.679,114.237,1380.0
9.689,98.636,1410.0
9.699,114.271,1380.0
9.709,98.67,1410.0
9.719,98.636,1410.0
9.729,114.271,1380.0
9.739,98.67,1410.0
9.749,114.305,1380.0
9.759,98.704,1410.0
9.769,98.67,1410.0
9.779,114.305,1380.0
9.789,114.373,1380.0
9.799,98.772,1410.0
9.809,98.738,1410.0
9.819,98.704,1410.0
9.829,114.339,1380.0
9.839,114.407,1380.0
9.849,98.806,1410.0
9.859,98.772,1410.0
9.869,114.407,1380.0
9.879,98.806,1410.0
9.889,98.772,1410.0
9.9,114.407,1380.0
9.909,98.806,1410.0
9.919,98.772,1410.0
9.929,114.407,1380.0
9.939,114.475,1380.0
9.949,98.874,1410.0
9.959,98.84,1410.0
9.969,114.475,1380.0
9.979,98.874,1410.0
9.989,98.84,1410.0
9.999,114.475,1380.0
10.009,114.543,1380.0
10.019,98.942,1410.0
10.029,98.908,1410.0
10.039,114.543,1380.0
10.049,114.611,1380.0
10.059,99.01,1410.0
10.07,98.976,1410.0
10.079,98.942,1410.0
10.089,114.577,1380.0
10.099,98.976,1410.0
10.109,114.611,1380.0
10.119,114.679,1380.0
10.129,99.078,1410.0
10.139,99.044,1410.0
10.149,99.01,1410.0
10.159,114.645,1380.0
10.169,99.044,1410.0
10.179,114.679,1380.0
10.189,99.078,1410.0
10.199,114.713,1380.0
10.209,99.112,1410.0
10.219,99.078,1410.0
10.229,114.713,1380.0
10.24,99.112,1410.0
10.249,99.078,1410.0
10.259,114.713,1380.0
10.269,99.112,1410.0
10.279,114.747,1380.0
10.289,99.146,1410.0
10.299,114.781,1380.0
10.309,99.18,1410.0
10.319,99.146,1410.0
10.329,99.112,1410.0
10.339,114.747,1380.0
10.349,99.146,1410.0
10.359,114.781,1380.0
10.369,114.849,1380.0
10.379,99.248,1410.0
10.389,99.214,1410.0
10.399,99.18,1410.0
10.409,114.815,1380.0
10.419,99.214,1410.0
10.429,99.18,1410.0
10.439,114.815,1380.0
10.449,99.214,1410.0
10.459,114.849,1380.0
10.469,99.248,1410.0
10.479,114.883,1380.0
10.489,99.282,1410.0
10.499,99.248,1410.0
10.509,99.214,1410.0
10.519,114.849,1380.0
10.529,114.917,1380.0
10.54,99.316,1410.0
10.549,99.282,1410.0
10.559,114.917,1380.0
10.569,99.316,1410.0
10.579,114.951,1380.0
10.589,99.35,1410.0
10.599,99.316,1410.0
10.609,114.951,1380.0
10.619,99.35,1410.0
10.629,114.985,1380.0
